userId,date,merchantId,amountEuros,wording,eligibleForOffer,usedOffer
1,2021-09-30,galeries-lafayette,23.5,PAIEMENT PAR CARTE GL BORDEAUX XX/XX,0,0
2,2021-09-28,galeries-lafayette,5.9,PAIEMENT PAR CARTE GL SAINT LAURENT XX/XX,0,0
3,2021-09-30,galeries-lafayette,250,PAIEMENT PAR CARTE GL MONTPELLIERS XX/XX,0,0
4,2021-09-28,galeries-lafayette,35.9,CARTE XXXXX XX/XX GL TOULOUSE XXXXXXXXXXXXXXXIOPD,0,0
5,2021-09-29,galeries-lafayette,24,PAIEMENT PAR CARTE GL NANTES XX/XX,0,0
6,2021-09-30,galeries-lafayette,6.5,MGL SAINT LAURENT,0,0
7,2021-09-27,galeries-lafayette,155.72,PAIEMENT CB XXXX PARIS GLAFAYETTE.COM CARTE XXXXXXXX,1,0
8,2021-09-30,galeries-lafayette,74.9,PAIEMENT PAR CARTE GL CLERMONT XX/XX,0,0
9,2021-09-27,galeries-lafayette,40,FACTURE CARTE DU XXXXXX GL BIARRITZ CARTE XXXXXXXXXXXXXXXX FRA XXXXEUR,0,0
10,2021-09-30,galeries-lafayette,20,PAIEMENT PAR CARTE PALAIS DE L'ONGL MARSEILLE XX/XX,0,0
11,2021-09-27,galeries-lafayette,99,PAIEMENT CB XXXX PARIS GLAFAYETTE.COM CARTE XXXXXXXX,0,0
12,2021-09-30,galeries-lafayette,9.6,PAIEMENT PAR CARTE LE PALAIS DES GL ANNECY XX/XX,0,0
13,2021-10-01,galeries-lafayette,10,GL HAUSSMANN PARIS FR,0,0
14,2021-10-01,galeries-lafayette,49,Paiement à Galeries Lafayette,0,0
15,2021-09-30,galeries-lafayette,24.11,BIOCOOP GL MARSEILLE,0,0
16,2021-10-01,galeries-lafayette,35.4,CB GL DIJON XX/XX/XX,0,0
17,2021-09-27,galeries-lafayette,145,GLAFAYETTE.COM XXXXXXX PARISXXXXXXX/,0,0
18,2021-06-04,galeries-lafayette,91.9,CARTE XXXXX XX/XX GLAFAYETTE.COM XXXXXXX COMMERCE ELECTRONIQUE,1,1
19,2021-07-05,galeries-lafayette,59,GALERIES LAFAYETTE TOURS,0,0
20,2021-10-01,galeries-lafayette,132.5,CB GLAFAYETTE.CO XX/XX/XX,1,0
21,2021-09-27,galeries-lafayette,83.2,PAIEMENT CB XXXX PARIS GLAFAYETTE.COM CARTE XXXXXXXX,0,0
22,2021-06-05,galeries-lafayette,99,GL ROSNY SOUS B,1,1
21,2021-09-27,galeries-lafayette,30.4,PAIEMENT CB XXXX PARIS GLAFAYETTE.COM CARTE XXXXXXXX,0,0
23,2021-09-30,galeries-lafayette,73.9,GL LYON LYON XXXXXXX/,0,0
21,2021-09-27,galeries-lafayette,51.2,PAIEMENT CB XXXX PARIS GLAFAYETTE.COM CARTE XXXXXXXX,0,0
24,2021-09-27,galeries-lafayette,48.37,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
25,2021-09-28,galeries-lafayette,139,CARTE XXXXX XX/XX GL NICE MASSENA XXXXXXXXXXXXXXXIOPD,0,0
26,2021-09-28,galeries-lafayette,80,PAIEMENT PAR CARTE GL MONTPELLIERS XX/XX,0,0
27,2021-09-28,galeries-lafayette,35,PAIEMENT PSC XXXX LYON XXXXXXX/ GL LYON CARTE XXXXXXXX,0,0
28,2021-09-28,galeries-lafayette,38,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
29,2021-09-30,galeries-lafayette,24,PAIEMENT PAR CARTE GL CLERMONT XX/XX,0,0
30,2021-09-30,galeries-lafayette,990,CB CRV*GL HAUSSMANN XX/XX/XX,1,0
31,2021-09-28,galeries-lafayette,24,PAIEMENT PSC XXXX PARISXXXXXXX/ GL HAUSSMANN CARTE XXXXXXXX,0,0
25,2021-09-26,galeries-lafayette,60,CARTE XXXXX XX/XX GL SAINT LAURENT XXXXXXXXXXXXXXXIOPD,0,0
32,2021-09-27,galeries-lafayette,315,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
33,2021-07-22,galeries-lafayette,50,PAIEMENT PAR CARTE GL TOURS XX/XX,0,0
33,2021-07-21,galeries-lafayette,12,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
33,2021-06-02,galeries-lafayette,115,PAIEMENT PAR CARTE GL TOURS XX/XX,0,0
34,2021-09-26,galeries-lafayette,33,PAIEMENT PAR CARTE GL HAUSSMANN PARIS XX/XX,0,0
35,2021-09-27,galeries-lafayette,69.9,PAIEMENT PAR CARTE GL BORDEAUX XX/XX,0,0
36,2021-09-28,galeries-lafayette,195,ACHAT CB GL HAUSSMANN XX.XX.XX CARTE NUMERO XXX,1,0
37,2021-09-28,galeries-lafayette,85,PAIEMENT PAR CARTE GL CLERMONT XX/XX,0,0
38,2021-09-27,galeries-lafayette,107.44,PAIEMENT CB XXXX FR PARISXXXXX GLAFAYETTE.COM CARTE XXXXXXXX,0,0
39,2021-09-28,galeries-lafayette,20.4,Paiement à Galeries Lafayette,0,0
40,2021-09-27,galeries-lafayette,28.2,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
41,2021-09-27,galeries-lafayette,8.93,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
42,2021-09-28,galeries-lafayette,18.98,TRANSACTION CARTE GLAFAYETTE.COM LE XX/XX/XX CB.XXXXXXXXX ORIGINE FRA XXXX EUR,0,0
43,2021-09-29,galeries-lafayette,20,GL LYON - LYON XXXXXXX/,0,0
44,2021-09-27,galeries-lafayette,20.29,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
43,2021-09-29,galeries-lafayette,20,GL LYON,0,0
45,2021-06-05,galeries-lafayette,95,Cb Gl Haussmann Fact XXXXXX,1,1
46,2021-09-27,galeries-lafayette,146,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
47,2021-09-26,galeries-lafayette,41,CARTE XXXX GL HAUSSMA XXPARISXXX LE XXXX,0,0
48,2021-09-28,galeries-lafayette,10,PAIEMENT PAR CARTE GL LYON XX/XX,0,0
49,2021-09-27,galeries-lafayette,70,PAIEMENT PAR CARTE GALERIES LAFAYET TOULON XX/XX,0,0
50,2021-09-27,galeries-lafayette,169,CARTE XX/XX/XX GL HAUSSMANN X CB*XXXX,0,0
51,2021-09-27,galeries-lafayette,50,Cb Gl Rosny Sous B Fact XXXXXX,0,0
52,2021-09-27,galeries-lafayette,177.52,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,1,0
53,2021-09-25,galeries-lafayette,49.99,PAIEMENT PAR CARTE GALERIES LAFAYET BELFORT XX/XX,0,0
54,2021-09-25,galeries-lafayette,70,CARTE XXXXX XX/XX GALERIES LAFAYET XXXXXXXXXXXXXXXIOPD,0,0
55,2021-09-27,galeries-lafayette,130,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
56,2021-09-23,galeries-lafayette,185,CARTE XX/XX/XX GL LYON X CB*XXXX,0,0
57,2021-09-28,galeries-lafayette,135,PAIEMENT PAR CARTE GL LYON XX/XX,1,0
58,2021-09-26,galeries-lafayette,48,ACHAT CB GOURMET HAUSSM XX.XX.XX CARTE NUMERO XXX,0,0
59,2021-09-27,galeries-lafayette,29.25,PAIEMENT PAR CARTE GL NANTES XX/XX,0,0
60,2021-09-29,galeries-lafayette,14.99,PAIEMENT PAR CARTE GALERIES LAFAYET BESANCON XX/XX,0,0
42,2021-09-27,galeries-lafayette,119.04,TRANSACTION CARTE GLAFAYETTE.COM LE XX/XX/XX CB.XXXXXXXXX ORIGINE FRA XXXXX EUR,0,0
61,2021-09-29,galeries-lafayette,112.99,PAIEMENT PAR CARTE GL ROSNY SOUS BO XX/XX,0,0
42,2021-09-28,galeries-lafayette,10,TRANSACTION CARTE GALERIES LAFAYE LE XX/XX/XX REF CB.XXXXXXXXX,0,0
62,2021-09-29,galeries-lafayette,8,PAIEMENT PAR CARTE GL STRASBOURG XX/XX,0,0
63,2021-09-27,galeries-lafayette,2.92,PAIEMENT PAR CARTE GL LYON XX/XX,0,0
64,2021-09-28,galeries-lafayette,195,CARTE XX/XX/XX GL HAUSSMANN X CB*XXXX,0,0
65,2021-09-28,galeries-lafayette,75,PAIEMENT CB XXXX MARSEXXXXXXX/ GL PRADO CARTE XXXXXXXX,0,0
66,2021-09-29,galeries-lafayette,160,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
66,2021-09-29,galeries-lafayette,49.9,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
67,2021-09-27,galeries-lafayette,23.8,PAIEMENT CB XXXX FR PARISXXXXX GLAFAYETTE.COM CARTE XXXXXXXX,0,0
67,2021-09-27,galeries-lafayette,23.79,PAIEMENT CB XXXX FR PARISXXXXX GLAFAYETTE.COM CARTE XXXXXXXX,0,0
68,2021-09-28,galeries-lafayette,62.75,CARTE XX/XX/XX XX GOURMET HAUSSMA,0,0
69,2021-08-26,galeries-lafayette,44.97,CARTE XXXXX XX/XX GL CARRE SENART XXXXXXXXXXXXXXXIOPD,0,0
70,2021-09-27,galeries-lafayette,1.92,CARTE XX/XX/XX GLAFAYETTE.COM XXXXXXX,0,0
71,2021-09-28,galeries-lafayette,75.9,CARTE XX/XX GLAFAYETTE.COM PARIS,0,0
72,2021-09-27,galeries-lafayette,29,paiement par carte XX/XX/XXXX gl bordeaux,0,0
73,2021-08-02,galeries-lafayette,50,CB GL HAUSSMANN XX/XX PARISXXXXXXX/ XX CB N° XXXX XXXX XXXX XXXX,0,0
73,2021-08-02,galeries-lafayette,80,CB GL HAUSSMANN XX/XX PARISXXXXXXX/ XX CB N° XXXX XXXX XXXX XXXX,0,0
73,2021-08-02,galeries-lafayette,55,CB GL HAUSSMANN XX/XX PARISXXXXXXX/ XX CB N° XXXX XXXX XXXX XXXX,0,0
74,2021-09-28,galeries-lafayette,101.2,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
75,2021-08-21,galeries-lafayette,95,PAIEMENT CB XXXX MARSEXXXXXXX/ GL MARSEILLE CARTE XXXXXXXX,0,0
76,2021-09-29,galeries-lafayette,29.99,GALERIES LAFAYET DAX,0,0
77,2021-09-29,galeries-lafayette,51.6,GOURMET HAUSSMA PARISXXXXXXX/,0,0
78,2021-09-30,galeries-lafayette,5,CB GALERIES LAFAYET XX/XX,0,0
79,2021-09-30,galeries-lafayette,1.4,PAIEMENT CB XXXX BELFORT GALERIES LAFAYET CARTE XXXXXXXX,0,0
80,2021-09-30,galeries-lafayette,13.76,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
80,2021-09-29,galeries-lafayette,11.45,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
81,2021-09-30,galeries-lafayette,10.75,PAIEMENT PAR CARTE GL SAINT LAURENT XX/XX,0,0
82,2021-09-30,galeries-lafayette,51,PAIEMENT PAR CARTE GL TOURS XX/XX,0,0
83,2021-07-18,galeries-lafayette,32.47,FACTURE CARTE DU XXXXXX GALERIES LAFAYE CANNES CARTE XXXXXXXXXXXXXXXX,0,0
84,2021-07-17,galeries-lafayette,87,PAIEMENT PAR CARTE GL ROSNY SOUS BO XX/XX,0,0
85,2021-07-17,galeries-lafayette,36,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
86,2021-07-18,galeries-lafayette,5.19,PAIEMENT PAR CARTE GOURMET HAUSSMA PARISXXXXX XX/XX,0,0
87,2021-07-16,galeries-lafayette,101.49,PAIEMENT PAR CARTE GL REIMS XX/XX,0,0
88,2021-07-15,galeries-lafayette,25,ACHAT CB GL BRON XX.XX.XX CARTE NUMERO XXX,0,0
89,2021-07-17,galeries-lafayette,19.5,PAIEMENT PAR CARTE GL ANNECY XX/XX,0,0
90,2021-07-12,galeries-lafayette,64.9,ACHAT CB GLAFAYETTE.COM XX.XX.XX EUR XXXX CARTE NO XXX,0,0
91,2021-07-17,galeries-lafayette,45.66,XXXXXX CB****XXXX GL GRENOBLE XXGRENOXXXXXXX/,0,0
92,2021-07-14,galeries-lafayette,13,CARTE XX/XX/XX XX GOURMET HAUSSM CB*XXXX,0,0
93,2021-07-17,galeries-lafayette,3.47,Cb Gl Bron Fact XXXXXX,0,0
94,2021-07-15,galeries-lafayette,33.49,Cb Gl Haussmann Fact XXXXXX,0,0
95,2021-07-18,galeries-lafayette,15.98,XXXXXX CB****XXXX GL NICE MASSENAXXNICE XXXXXXX/,0,0
96,2021-07-06,galeries-lafayette,45.87,Paiement à Galeries Lafayette,0,0
97,2021-07-17,galeries-lafayette,38.48,GALERIES LAFAYE,0,0
98,2021-07-13,galeries-lafayette,27.47,CARTE XX/XX/XX GLAFAYETTE.COM X CB*XXXX,0,0
99,2021-07-17,galeries-lafayette,14,Cb Gl Clermont Fact XXXXXX,0,0
100,2021-07-15,galeries-lafayette,17.48,Cb Galeries Lafaye Fact XXXXXX,0,0
101,2021-07-16,galeries-lafayette,18.17,Cb Gl Haussmann Fact XXXXXX,0,0
102,2021-07-15,galeries-lafayette,44.95,Cb Gl Nice Massena Fact XXXXXX,0,0
103,2021-07-15,galeries-lafayette,75.69,PAIEMENT PAR CARTE GL BRON XX/XX,0,0
104,2021-07-16,galeries-lafayette,32.96,PAIEMENT PAR CARTE GALERIES LAFAYET DAX XX/XX,0,0
103,2021-07-15,galeries-lafayette,53.94,PAIEMENT PAR CARTE GL LYON XX/XX,0,0
105,2021-07-16,galeries-lafayette,20.35,PAIEMENT PAR CARTE GL NICE MASSENA XX/XX,0,0
106,2021-07-16,galeries-lafayette,32.9,GL HAUSSMANN,0,0
107,2021-07-17,galeries-lafayette,41,PAIEMENT PAR CARTE GL ORLEANS XX/XX,0,0
106,2021-07-17,galeries-lafayette,6.3,GL HAUSSMANN,0,0
108,2021-07-17,galeries-lafayette,151.4,XXXXXX CB****XXXX GL METZ XXMETZ XXXXXXX/,0,0
109,2021-07-17,galeries-lafayette,24.99,PAIEMENT PAR CARTE GL ANNECY XX/XX,0,0
110,2021-07-16,galeries-lafayette,42,GL BRON,0,0
109,2021-07-17,galeries-lafayette,50,PAIEMENT PAR CARTE GL ANNECY XX/XX,0,0
111,2021-07-15,galeries-lafayette,105,PAIEMENT PAR CARTE GL LYON XX/XX,1,0
59,2021-07-17,galeries-lafayette,93.6,PAIEMENT PAR CARTE GL NANTES XX/XX,0,0
112,2021-07-15,galeries-lafayette,27.49,PAIEMENT PAR CARTE GL ORLEANS XX/XX,0,0
113,2021-07-17,galeries-lafayette,42.9,PAIEMENT PAR CARTE GL LYON XX/XX,0,0
112,2021-07-15,galeries-lafayette,44.99,PAIEMENT PAR CARTE GL ORLEANS XX/XX,0,0
114,2021-07-16,galeries-lafayette,42,PAIEMENT PAR CARTE GL BIARRITZ XX/XX,0,0
115,2021-07-15,galeries-lafayette,10,FACTURE CARTE DU XXXXXX GOURMET HAUSSMA PARISXXXXXXX/ CARTE XXXXXXXXXXXXXXXX,0,0
116,2021-07-18,galeries-lafayette,8.5,CB GALERIES LAFAYET XX/XX/XX,0,0
115,2021-07-15,galeries-lafayette,4.5,FACTURE CARTE DU XXXXXX GOURMET HAUSSMA PARISXXXXXXX/ CARTE XXXXXXXXXXXXXXXX,0,0
117,2021-07-16,galeries-lafayette,79,CARTE XX/XX/XX XX GL DIJON CB*XXXX,0,0
118,2021-07-15,galeries-lafayette,19.99,PAIEMENT PAR CARTE GL BIARRITZ XXXXX XX/XX,0,0
119,2021-07-17,galeries-lafayette,48,PAIEMENT PAR CARTE GALERIES LAFAYET BESANCON XX/XX,0,0
106,2021-07-16,galeries-lafayette,30.46,ACHAT CB GL HAUSSMANN XX.XX.XX CARTE NUMERO XXX,0,0
120,2021-07-17,galeries-lafayette,129.95,PAIEMENT PAR CARTE GL ORLEANS XX/XX,1,0
121,2021-07-16,galeries-lafayette,28.72,PAIEMENT PAR CARTE GL MARSEILLE XX/XX,0,0
122,2021-07-17,galeries-lafayette,7.5,PAIEMENT PAR CARTE GL PRADO MARSEXXXXXXX/ XX/XX,0,0
123,2021-07-15,galeries-lafayette,9.71,PAIEMENT PAR CARTE GAL LAFAYETTE RENNES XX/XX,0,0
124,2021-07-17,galeries-lafayette,11.49,GL LE MANS,0,0
125,2021-07-15,galeries-lafayette,11.99,PAIEMENT PAR CARTE GL NICE MASSENA XX/XX,0,0
124,2021-07-17,galeries-lafayette,10,GL LE MANS,0,0
126,2021-07-12,galeries-lafayette,147.2,GLAFAYETTE.COM,0,0
127,2021-07-17,galeries-lafayette,10.3,CARTE XXXXX XX/XX GL HAUSSMANN XXXXXXXXXXXXXXXIOPD,0,0
128,2021-07-14,galeries-lafayette,165,Cb Gl Grenoble Fact XXXXXX,1,0
127,2021-07-17,galeries-lafayette,19.98,CARTE XXXXX XX/XX GL HAUSSMANN XXXXXXXXXXXXXXXIOPD,0,0
127,2021-07-17,galeries-lafayette,37.19,CARTE XXXXX XX/XX GL HAUSSMANN XXXXXXXXXXXXXXXIOPD,0,0
129,2021-07-15,galeries-lafayette,10,PAIEMENT PSC XXXX STRASXXXXXXX/ GL STRASBOURG CARTE XXXXXXXX,0,0
130,2021-07-16,galeries-lafayette,9,ACHAT CB GL PAU XX.XX.XX CARTE NUMERO XXX,0,0
131,2021-07-17,galeries-lafayette,99,Cb Gl Avignon Fact XXXXXX,1,0
132,2021-07-14,galeries-lafayette,19,PAIEMENT PSC XXXX PARISXXXXXXX/ GOURMET HAUSSMA CARTE XXXXXXXX,0,0
133,2021-07-17,galeries-lafayette,20.99,PAIEMENT PAR CARTE GALERIES LAFAYET TOULON XX/XX,0,0
134,2021-07-13,galeries-lafayette,163.05,Cb Glafayette.com Fact XXXXXX,0,0
135,2021-07-13,galeries-lafayette,8.99,ACHAT CB GL TOULOUSE XX.XX.XX EUR XXX CARTE NO XXX APPLE PAY,0,0
136,2021-07-17,galeries-lafayette,185.9,Cb Gl Bron Fact XXXXXX,0,0
137,2021-07-15,galeries-lafayette,79,PAIEMENT PAR CARTE GL BORDEAUX XX/XX,0,0
138,2021-07-17,galeries-lafayette,11.7,PAIEMENT PAR CARTE GLAFAYETTE.COM PARIS XX/XX,0,0
139,2021-07-16,galeries-lafayette,83.3,Paiement à Galeries Lafayette,0,0
140,2021-07-15,galeries-lafayette,52,PAIEMENT PAR CARTE GALERIES LAFAYET BESANCON XX/XX,0,0
141,2021-07-17,galeries-lafayette,55,GL AVIGNON,0,0
142,2021-07-15,galeries-lafayette,57,GAL LAFAYETTE,0,0
143,2021-07-16,galeries-lafayette,65.98,Cb Gl Bron Fact XXXXXX,0,0
144,2021-07-17,galeries-lafayette,26.94,PAIEMENT PAR CARTE GL ORLEANS XX/XX,0,0
145,2021-07-16,galeries-lafayette,9.99,GAL LAFAYETTE,0,0
146,2021-07-16,galeries-lafayette,89,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
147,2021-07-17,galeries-lafayette,17.59,GL MARSEILLE MARSEILLE FR,0,0
146,2021-07-16,galeries-lafayette,44.95,PAIEMENT PAR CARTE GL HAUSSMANN PARISXXXXXXX/ XX/XX,0,0
148,2021-07-15,galeries-lafayette,1.9,CARTE XX/XX GAL LAFAYETTE RENNES,0,0
149,2021-07-16,galeries-lafayette,5,XXXXXX CB****XXXX GL MARSEILLE XXMARSEXXXXXXX/,0,0
148,2021-07-15,galeries-lafayette,5.78,CARTE XX/XX GAL LAFAYETTE RENNES,0,0
