userId,age,gender,registeredAt,firstBankConnectedAt
1092,38,F,2019-12-13 09:35:16,2020-01-17 14:12:06
1102,24,M,2020-11-20 07:56:03,2020-11-20 07:59:44
2989,21,F,2021-01-09 06:44:54,2021-01-09 06:51:54
1392,23,M,2019-10-13 21:15:16,2019-10-13 21:18:55
3444,29,M,2020-08-07 10:05:23,2020-08-07 10:08:13
818,20,M,2020-11-06 12:03:07,2020-11-06 12:45:03
1817,20,M,2019-09-11 05:49:14,2019-09-11 05:54:00
1420,18,M,2019-08-17 21:26:36,2021-01-22 09:49:47
3514,25,F,2020-02-23 10:16:51,2020-04-16 09:02:11
2355,18,F,2020-02-23 13:21:29,2020-02-23 13:39:54
895,20,M,2019-11-02 14:42:52,2019-11-02 14:49:02
3258,23,F,2020-03-07 13:46:39,2020-03-07 13:55:40
2177,33,M,2020-03-11 11:43:16,2021-09-11 17:10:38
1014,21,F,2019-11-15 08:45:38,2019-11-15 08:49:00
1557,20,F,2019-03-07 13:32:40,2019-03-07 13:36:49
1052,19,F,2019-09-09 10:41:33,2019-09-09 10:45:54
100,25,F,2020-01-10 19:43:04,2020-01-10 19:46:45
1617,32,F,2019-08-31 09:46:04,2019-08-31 09:50:43
785,31,F,2020-11-13 13:18:25,2020-11-13 13:21:20
3726,27,F,2019-11-17 08:53:11,2019-11-17 22:22:27
3326,22,F,2019-09-10 07:04:13,2019-09-13 07:24:18
1598,33,F,2019-12-13 13:15:35,2019-12-15 16:18:15
2649,35,F,2020-06-25 20:08:44,2020-06-25 20:13:29
3859,34,F,2019-06-16 11:37:03,2019-06-16 11:40:35
733,31,M,2019-09-20 07:19:57,2019-09-20 07:24:19
1866,38,F,2020-03-13 14:32:12,2020-03-13 14:35:10
2501,19,M,2020-11-20 20:12:01,2020-11-20 20:20:03
3382,23,F,2021-01-09 08:10:38,2021-01-09 08:34:34
504,24,F,2020-06-01 18:23:56,2020-06-01 18:26:32
3351,30,F,2019-09-21 10:31:54,2019-09-21 10:36:26
3345,30,F,2019-06-12 10:35:29,2019-06-12 10:38:12
1720,55,F,2020-01-27 10:35:26,2020-02-04 18:14:53
1936,27,F,2020-02-08 13:03:48,2020-02-08 13:08:27
877,26,M,2020-12-07 15:56:33,2020-12-07 15:58:22
999,28,F,2019-11-17 12:28:29,2019-11-17 12:31:23
1484,28,F,2019-09-24 06:29:57,2019-09-24 13:11:46
2215,20,F,2020-02-19 07:52:55,2020-02-19 09:28:06
1389,18,F,2020-12-12 16:17:17,2021-05-06 16:54:53
2161,19,F,2019-11-01 17:30:39,2019-11-01 17:35:55
2504,29,F,2020-01-20 12:24:58,2020-01-20 12:29:49
3457,25,O,2021-05-01 17:22:59,2021-05-02 16:55:31
3161,26,M,2020-02-13 05:59:43,2020-02-13 06:04:50
1729,20,F,2021-01-17 09:07:04,2021-01-17 09:10:20
66,28,M,2019-10-24 21:52:50,2019-10-27 21:45:41
2607,39,F,2020-01-10 17:26:18,2020-01-10 17:33:17
800,57,M,2019-09-11 09:36:26,2019-09-11 09:39:45
864,31,F,2020-01-05 22:34:21,2020-01-05 22:37:36
109,21,F,2019-11-20 16:12:22,2020-11-06 09:29:52
1799,18,F,2020-03-08 00:08:07,2020-03-08 15:16:42
1240,22,F,2019-10-11 11:53:11,2019-10-11 11:56:40
2111,19,O,2021-08-07 18:37:49,2021-08-07 18:46:05
3894,21,M,2019-11-23 16:43:48,2019-11-26 09:43:43
1687,24,M,2020-02-15 09:06:17,2020-02-15 09:20:51
3725,38,M,2021-09-05 20:46:01,2021-09-05 20:56:06
2689,32,M,2021-06-25 13:32:56,2021-06-26 08:02:26
82,29,F,2019-08-28 17:35:57,2019-08-28 17:40:53
778,24,F,2019-09-09 12:47:03,2019-09-09 12:51:35
3728,21,M,2020-05-17 09:06:11,2020-05-17 09:20:02
3423,31,F,2019-12-05 18:37:54,2019-12-06 08:44:06
3148,21,F,2020-05-04 15:21:16,2020-05-04 15:34:55
3837,22,M,2018-09-17 18:25:58,2018-09-17 18:29:45
431,38,F,2019-11-23 19:09:22,2019-11-23 19:14:58
3738,30,F,2019-12-15 07:59:44,2019-12-15 08:03:25
3913,31,F,2020-05-14 21:49:34,2020-05-23 11:24:50
3054,46,F,2019-09-02 20:22:14,2019-09-02 20:29:01
2190,37,F,2020-02-22 14:39:02,2020-02-22 14:42:31
736,18,M,2019-10-16 10:16:32,2020-12-24 07:00:38
2204,17,F,2021-09-06 07:39:29,2021-09-06 07:45:14
3127,28,F,2020-01-06 20:47:22,2020-01-06 20:50:23
2772,34,M,2021-02-28 18:30:44,2021-02-28 18:33:27
2883,27,F,2021-03-05 13:38:42,2021-03-17 22:27:34
1205,56,F,2020-07-08 07:05:37,2020-07-08 07:24:32
2415,51,F,2020-04-21 11:21:37,2020-04-21 11:32:02
634,19,F,2020-02-11 09:50:07,2020-02-14 14:10:25
518,18,M,2019-08-22 20:59:38,2019-08-22 21:02:40
2028,29,F,2019-12-22 13:32:00,2019-12-23 08:18:22
192,34,F,2021-01-01 01:07:10,2021-01-01 01:24:42
3915,25,F,2020-04-17 12:06:46,2020-04-17 13:01:58
1562,20,F,2019-08-04 21:58:11,2019-11-16 11:51:02
964,25,F,2020-01-26 06:45:07,2020-01-26 21:25:26
3876,47,F,2020-11-16 13:49:44,2020-11-16 13:56:00
1246,27,F,2020-02-20 16:28:17,2020-02-20 16:36:45
3216,29,F,2020-11-15 08:15:45,2020-11-15 08:18:21
2550,47,M,2020-11-29 19:41:42,2020-11-29 19:45:21
3788,28,M,2020-03-12 00:11:11,2020-03-12 07:40:13
3689,26,F,2019-10-06 20:52:14,2019-10-06 20:55:19
1167,19,F,2019-11-05 22:41:23,2019-11-05 22:47:03
3183,26,F,2019-04-06 19:28:17,2019-04-07 05:21:16
2996,20,F,2021-08-02 19:32:13,2021-08-02 19:37:14
2524,25,F,2020-11-07 08:44:20,2020-12-07 13:14:09
2346,24,F,2020-02-14 10:15:21,2020-02-14 10:19:14
1669,25,F,2019-11-20 11:26:11,2020-01-05 22:02:50
2069,26,F,2020-03-02 00:17:59,2020-03-02 00:21:46
2749,27,F,2019-09-14 05:08:20,2019-09-14 05:17:46
2231,35,F,2019-04-14 19:53:48,2019-06-06 03:01:07
2369,19,F,2019-09-09 20:24:19,2019-09-09 20:27:35
3602,26,M,2020-05-10 16:52:27,2020-05-10 16:57:07
382,30,M,2020-05-15 12:44:43,2020-05-15 12:47:37
650,22,M,2020-01-21 12:32:52,2020-01-21 15:51:52
33,19,F,2019-10-30 07:29:14,2019-10-30 07:34:23
513,18,F,2020-02-13 09:23:45,2020-02-13 09:26:49
3343,20,F,2021-09-05 21:11:52,2021-10-11 13:21:52
2986,20,F,2019-12-11 13:53:12,2020-06-22 12:03:15
2818,26,F,2019-06-07 16:06:57,2019-06-07 16:10:06
2635,19,F,2019-06-03 15:41:07,2019-06-03 15:54:12
452,27,O,2020-11-02 10:03:25,2020-11-02 10:06:27
2347,22,M,2019-10-24 20:26:44,2019-10-24 20:41:38
1342,48,F,2021-04-28 12:41:51,2021-04-28 12:45:39
1768,28,F,2019-12-06 17:30:30,2019-12-06 17:34:03
2707,26,F,2020-01-21 07:47:12,2020-01-21 07:56:41
11,22,F,2020-09-17 10:27:17,2020-09-17 10:33:46
1103,20,M,2020-02-06 09:35:29,2020-02-06 09:43:37
2439,22,F,2020-10-13 08:50:23,2020-10-13 09:31:38
1175,21,F,2019-09-22 22:49:51,2019-09-22 22:52:27
2255,66,F,2020-05-23 08:25:55,2020-05-23 08:30:14
